country,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Kenya,1690,1710,1680,1660,1700,1780,1850,1850,1880,1890,1890,1940,1930,1960,2050,2190,2320,2470,2460,2170,2310,2460,2530,2750,2980,3320,3860,4100,4350,4610,4760,5260,5790,6200
Kyrgyz Republic,,2380,2070,1790,1440,1370,1470,1600,1610,1640,1750,1910,1930,2090,2240,2300,2470,2730,2910,2980,2880,2930,3500,3770,4050,3990,4360,4710,4630,4860,5020,5350,6430,7010
Cambodia,1100,1180,1220,1530,950,990,980,980,990,1100,1210,1310,1380,1540,1710,1960,2210,2480,2670,2750,2900,3120,3450,3730,3940,4250,4560,4850,5390,5880,5750,5970,6650,7260
Kiribati,1470,1930,2100,2060,2120,2290,2010,2390,2640,2370,2560,2690,2560,2300,2290,2280,2410,2530,2490,2340,2480,2430,2790,3260,3730,4500,4130,4530,4620,5250,4660,4750,5090,5920
St. Kitts and Nevis,8780,8820,9190,9910,10.5k,11.3k,11.9k,12.7k,12.4k,12.7k,14.2k,15k,15.3k,14.7k,15.9k,18.3k,19.6k,20.3k,23k,22.4k,22.8k,23.7k,22.8k,24.2k,25.1k,25.1k,26.6k,28.3k,29.5k,32k,26.6k,25.9k,31k,32.9k
South Korea,8350,9470,10.2k,11k,12.2k,13.4k,14.6k,15.6k,14.8k,16.6k,18.4k,19.6k,21.3k,22k,23.7k,25k,26.8k,29k,29.9k,29.5k,31.8k,32.8k,33.9k,34.5k,35.5k,38k,39.7k,41.1k,43.2k,44.2k,45.5k,49k,52k,53.2k
Kosovo,,,,,,,,,,,,,,,,,,,6650,6850,7300,7970,8150,8280,8380,8860,9270,9570,10.2k,11.1k,10.8k,12.6k,14.1k,15.4k
Kuwait,43.7k,34.9k,45.7k,56.2k,60.8k,67.4k,66.3k,69.3k,71.5k,66k,69.1k,66.8k,65k,74.7k,85.2k,94.3k,101k,101k,96.9k,85.3k,81.3k,83.7k,86.4k,82.7k,74.9k,50.3k,46.8k,53.8k,58.2k,58k,47.6k,58.9k,62.3k,61.7k
Lao,1010,1060,1110,1180,1260,1340,1430,1490,1530,1660,1720,1830,1950,2030,2220,2460,2620,2920,3120,3390,3530,3820,4500,4940,5540,5820,6450,6760,7160,7300,7440,7620,8110,8610
Lebanon,3650,4620,5500,6000,6580,7080,7780,7790,7930,7890,8090,8250,8200,7440,9240,9930,10.4k,11.7k,12.6k,13.5k,14.5k,14.9k,16.1k,16.2k,15.9k,16.9k,18.6k,20.9k,21.5k,21.2k,15.7k,10.7k,11.8k,
Liberia,1080,1090,680,450,360,350,390,690,830,800,850,820,830,570,610,650,700,770,830,860,890,990,1050,1230,1270,1220,1370,1520,1570,1700,1510,1440,1590,1680
Libya,17.1k,20k,19.5k,18.8k,19.2k,19.4k,20.1k,20.4k,20k,17.1k,19.1k,18.8k,20.3k,23.1k,23.8k,26.6k,28.9k,31.3k,31.1k,29.3k,30.2k,15.7k,26.3k,21k,17.7k,18.4k,17.2k,18.4k,19.1k,16.6k,11.2k,12.4k,12.2k,13.9k
St. Lucia,6240,6390,7020,7050,7230,7350,7640,7600,8040,8290,8870,8630,8830,9210,9920,10.1k,11.3k,11.6k,12.3k,12.2k,12.4k,13.3k,13.1k,13.7k,13.5k,13.2k,14.4k,15.2k,16.6k,17.6k,14.6k,18.3k,22.5k,23.7k
Sri Lanka,2510,2700,2850,3070,3240,3420,3540,3770,3900,4050,4300,4260,4460,4810,5170,5620,6190,6760,7170,7500,8150,8990,10.1k,11k,11.5k,11.9k,12.8k,13.3k,13.8k,13.7k,12.6k,14k,13.8k,14k
Lesotho,1230,1270,1300,1300,1370,1390,1480,1530,1510,1570,1620,1950,2010,2120,2140,2180,2260,2690,2800,2680,2770,2730,2680,2920,3090,3390,3340,2970,3130,3060,3040,2970,3320,3500
Lithuania,8250,8030,6490,5590,5180,5920,6320,6930,7590,7630,8300,9310,10.4k,11.8k,12.7k,14.3k,16.1k,18.4k,20.1k,18.5k,20k,22.2k,23.9k,26.1k,27.9k,27.8k,29.8k,32.5k,35.3k,39.2k,40k,44.1k,48.7k,49k
Luxembourg,29.9k,33.3k,34.1k,35.2k,35.5k,37.3k,38.6k,41k,41.5k,46k,48.8k,50k,49.4k,48.7k,58.4k,62.6k,63.2k,72.4k,71.2k,55.4k,61.4k,65.5k,74.2k,72.4k,76.5k,69.4k,75.1k,82.3k,83.3k,83.2k,85.8k,92.8k,97.6k,90.8k
Latvia,7820,7100,5010,4980,5280,5550,5840,6530,7110,7340,8030,9070,10.1k,11k,12k,13.8k,15.5k,17.7k,19.3k,18.2k,17.9k,19.2k,21.1k,22.6k,23.9k,24.9k,26.7k,28.6k,30.4k,32.8k,33.7k,37.4k,42.4k,42.9k
"Macao, China",28.1k,28.7k,31.6k,32.6k,33.5k,33.8k,33.2k,33.4k,31.6k,30.3k,31.7k,36k,39.2k,43.5k,53.3k,56.4k,59.9k,74.1k,67.3k,70.6k,88k,104k,112k,124k,122k,97.3k,97.3k,108k,115k,112k,67.8k,73.9k,76.6k,
Morocco,2710,2940,2910,2890,3230,3060,3470,3420,3680,3740,3860,4200,4380,4680,4980,5250,5750,6040,6420,6540,6760,7160,7170,7450,7090,7680,7740,7990,7680,7930,7630,8500,9150,9700
Moldova,6930,6010,4360,4420,3100,3120,3110,3220,3010,2980,3170,3520,3940,4350,4880,5420,5790,6030,6660,6100,6790,7310,7940,9020,9400,9730,10.9k,11.9k,12.4k,14.1k,14k,16k,16.4k,17.9k
Madagascar,1120,1040,1060,1070,1060,1060,1080,1120,1140,1180,1220,1280,1090,1200,1260,1310,1380,1480,1560,1460,1440,1450,1420,1420,1460,1440,1500,1500,1490,1560,1450,1570,1700,1780
Maldives,4080,4010,4270,4420,4870,5920,6370,6840,7310,7740,8120,8010,8610,9730,10.5k,9440,11.8k,10.9k,12.1k,10.9k,11.3k,12.3k,12.7k,13.6k,15.1k,16.4k,17.3k,18.2k,19.9k,20.8k,12.3k,17.1k,20.3k,21.8k
Mexico,8360,8890,9280,8840,9250,8620,9190,9930,10.5k,10.8k,11.5k,11.5k,11.6k,11.9k,12.5k,13.1k,14.3k,14.8k,15.5k,15k,15.7k,17k,17.6k,17.6k,18.4k,18.6k,19.6k,20k,20.4k,20.4k,18.7k,20.3k,22.8k,24.2k
Marshall Islands,2630,2660,2880,3090,3310,3630,3150,2980,3060,3110,3250,3490,3540,3560,3660,3920,3940,4220,4030,4110,4260,4280,4160,4580,4810,5440,5530,5770,6370,7340,7290,7350,8420,9000
North Macedonia,5280,5180,4880,4730,4810,4870,4970,5150,5370,5620,6040,6010,6320,6530,7190,7830,8850,9190,10.8k,11.4k,11.8k,12.2k,12.4k,13.3k,14.2k,14.6k,15.8k,16.5k,17.7k,19.3k,19.2k,21.2k,23k,23.1k
Mali,740,840,810,840,860,870,920,960,1020,1070,1060,1170,1170,1300,1310,1400,1450,1490,1550,1560,1620,1660,1610,1680,1790,1920,2060,2120,2180,2280,2200,2240,2420,2530
Malta,10.8k,11.4k,11.9k,12.5k,13.2k,14.2k,14.8k,15.6k,16.1k,17.2k,17.7k,18.7k,19.9k,20.9k,21.7k,21.3k,22.4k,24.4k,26k,25k,27.2k,28.2k,29.2k,30.6k,32.5k,35.6k,36.4k,42.3k,43.7k,46.5k,44.3k,49.8k,52k,55k
Myanmar,440,440,490,530,570,620,660,700,740,820,950,1070,1200,1380,1600,1860,2150,2460,2750,3040,3350,3580,3690,4010,4180,4300,4340,4560,5430,5900,5630,5100,5630,5840
Montenegro,,,,,,,,6090,6480,5970,6310,7110,7500,7770,8250,8410,10.6k,12.6k,14k,13.1k,13.5k,14.6k,14.1k,15.2k,15.6k,16.7k,18.4k,20.1k,21.8k,24.4k,21.3k,24.6k,28.4k,31.3k
Mongolia,3420,3180,2890,2830,2960,3170,3270,3410,3560,3660,3720,3880,4070,4370,4910,5300,5900,6520,7070,6820,6920,8130,9370,9850,10k,9590,9650,9540,11.2k,12.1k,12.4k,12.6k,14.4k,16k
Mozambique,,310,280,310,310,310,340,380,410,460,460,510,520,600,660,690,750,810,870,930,970,1050,1070,1110,1150,1290,1350,1250,1300,1360,1380,1430,1460,1530
Mauritania,2000,2050,2050,2120,2030,2220,2460,2340,2390,2450,2320,2240,2370,2520,2640,2870,3280,3230,3220,3190,3140,3190,3360,3720,3720,3860,4600,5280,5400,5540,5670,5740,6450,6950
Mauritius,4970,5360,5770,6120,6370,6740,7130,7620,8070,8310,9110,9610,9850,10.5k,11.2k,11.7k,12.8k,14.1k,14.9k,15.2k,15.9k,16.6k,17.9k,18.7k,19.6k,20.7k,22k,23.1k,24.2k,25.2k,22.3k,24k,27.7k,30.2k
Malawi,670,730,670,750,690,830,880,920,930,950,970,920,920,970,1020,1060,1120,1230,1310,1380,1440,1500,1440,1530,1480,1370,1410,1350,1320,1420,1470,1640,1720,1780
Malaysia,6590,7200,7790,8590,9330,10.2k,11.2k,11.8k,10.8k,11.2k,12k,12.1k,12.8k,13.6k,14.6k,15.7k,16.9k,18.2k,18.9k,18.6k,19.6k,20.8k,21.8k,22.4k,23.5k,23.9k,24.6k,25.7k,26.9k,28.2k,26.9k,29k,33.3k,35.4k
Namibia,3940,4340,4500,4370,4400,4650,4640,4780,4900,4880,5150,5180,5510,5960,6560,6660,7310,7630,7890,7830,8090,8630,8990,9670,10.3k,10.4k,10k,9710,9490,9370,9320,9340,10.3k,10.7k
Niger,740,740,750,750,750,760,760,760,830,810,800,850,870,880,880,940,990,1010,1070,1050,1120,1130,1200,1180,1210,1230,1230,1250,1330,1480,1430,1610,1680,1820
Nigeria,,,,,,,,,,,,,,,,,,,3790,3980,4230,4420,4510,4730,5080,5060,4940,4890,4950,5260,5290,5380,5790,6020
Nicaragua,1970,1790,1750,1770,1810,1990,2150,2270,2400,2560,2700,2780,2830,2930,3150,3370,3540,3790,3940,3760,3930,4210,4330,4480,4880,5240,5600,5900,5640,5760,5850,6640,7220,7890
Netherlands,18.6k,19.7k,20.2k,21k,22.1k,23.3k,24.5k,25.9k,27.2k,29.1k,31.7k,32.3k,33.5k,33.7k,35.3k,37k,40.7k,43.5k,44.2k,42.9k,44.6k,46.4k,46.8k,48.9k,48.7k,49.8k,51k,54.5k,57.6k,59.9k,59.1k,68k,73.7k,77.7k
Curaçao,,,,,,,,,,,,,,,,24.5k,25.1k,25.9k,26k,25.5k,25.9k,25.9k,24.6k,24.1k,23.8k,23.7k,23.2k,24k,24.5k,25.5k,21.9k,25.5k,29.2k,
Norway,17.9k,18.9k,20.2k,21.1k,22.6k,24.1k,26.5k,28.3k,27.9k,30.3k,36.5k,37.9k,38.2k,38.9k,42.8k,48.5k,54.4k,56k,61.8k,55.9k,58.9k,63.1k,66.3k,68.1k,68.4k,63.3k,61.9k,66.9k,73.1k,73.1k,69.9k,88.8k,123k,106k
Nepal,830,890,920,950,1030,1060,1110,1160,1190,1240,1320,1390,1390,1450,1540,1630,1730,1830,1960,2050,2160,2260,2480,2680,2940,3000,3010,3640,3980,4300,4290,4570,5130,5460
Nauru,19.7k,16.1k,13.6k,11.5k,11.3k,10.6k,9490,8770,7830,7420,7080,6790,6220,6360,6330,6400,7150,6040,6660,6650,6830,8130,9950,10.7k,12.1k,13.8k,14.2k,13.7k,13.1k,15.1k,16.4k,18.3k,21.7k,23.6k
New Zealand,14.3k,13.6k,14k,14.8k,15.9k,16.8k,17.1k,18k,18.4k,19.4k,20.3k,21.4k,22.1k,22.9k,23.7k,24k,25.9k,27.3k,27.7k,29.4k,29.7k,31.2k,31.6k,34.8k,35.8k,36.3k,38.7k,40.6k,41k,44k,44.4k,46.7k,51.5k,51.7k
Oman,26.3k,27.7k,28.9k,30.1k,31k,32.8k,33.7k,35.7k,35.5k,35.4k,38k,40.1k,39.8k,40k,41.6k,42.4k,45.4k,47.8k,50.8k,52.2k,52.6k,49.6k,47.4k,45.3k,42.2k,35k,32.4k,32.4k,35.8k,34.7k,32.6k,36k,39.6k,40.5k
Pakistan,1870,1960,2100,2120,2180,2270,2350,2350,2360,2430,2510,2580,2620,2770,3000,3240,3460,3600,3650,3690,3720,3830,3990,4110,4250,4410,4550,4720,4900,4950,4960,5300,5840,5930
Panama,4930,5340,5860,6310,6550,6500,6250,6620,7060,7290,7720,7800,8190,8280,8940,9770,10.9k,12.6k,13.8k,14k,14.4k,16.5k,18.2k,20.6k,22.3k,25.6k,28.2k,31.6k,29.9k,31.2k,26.2k,29.1k,34.6k,37.9k
Peru,3160,3390,3370,3540,3960,4250,4420,4720,4710,4760,4900,5000,5270,5480,5730,6150,6630,7370,8210,8360,9000,9690,10.1k,10.7k,11k,11.2k,11.6k,12k,12.4k,13.1k,12.2k,14.1k,15.5k,16.1k
Philippines,2570,2610,2650,2720,2870,3010,3190,3380,3600,3660,3680,3800,3920,4120,4410,4710,5000,5370,5630,5750,6110,6320,6770,7120,7460,7680,8200,8630,9250,9820,8860,9170,10.7k,12.2k
Palau,10.8k,11.4k,10.7k,9360,10k,11.1k,12.1k,12.3k,12.4k,11.7k,9460,10.3k,10.7k,10.8k,11.6k,12.3k,12.8k,13.5k,13.3k,13.1k,13.3k,14.5k,14.8k,14.9k,15.6k,16.9k,16.8k,17.1k,17.4k,18.1k,17.8k,16.3k,16.8k,16.6k
Papua New Guinea,1660,1830,1980,2310,2440,2350,2430,2330,2180,2160,2110,2060,2020,1980,2060,2220,2220,2440,2450,2500,2700,2640,2870,2860,3440,3430,3640,3740,3690,3770,3780,3730,4160,4350
Poland,5860,5720,5920,6320,6860,7680,8290,8940,9490,10k,10.7k,11.1k,11.8k,12.2k,13k,13.7k,14.8k,16.3k,18k,18.7k,20.3k,22k,22.8k,23.5k,24.5k,26k,27.3k,28.9k,31k,34.4k,35.4k,39.3k,44.3k,44.8k
Puerto Rico,9470,9950,10.2k,10.8k,11.3k,11.8k,12.2k,12.9k,13.3k,14.4k,15.4k,15.8k,16k,16.5k,18.7k,19.2k,19.9k,20.7k,20.6k,20.1k,20.2k,20.8k,21.7k,21.9k,22.1k,22.1k,22.1k,21.8k,23.3k,25.2k,25.1k,28k,31.5k,33k
Portugal,11.8k,12.8k,13.3k,13.3k,13.6k,14.5k,15k,15.8k,16.6k,17.7k,18.6k,19.2k,20.1k,20.6k,21.2k,22.4k,24k,25k,25.8k,25.6k,26.4k,26.3k,25.8k,27.6k,28.1k,28.9k,30.8k,32.3k,34.1k,36.9k,35.3k,38.2k,43.6k,46.1k
Paraguay,5210,5160,5320,5950,5860,6280,6700,6690,6640,6490,6060,6160,6350,6190,6660,6980,7720,8670,9390,9290,10.3k,10.9k,10.5k,11.6k,12.1k,12.2k,12.8k,13.5k,13.7k,13.7k,13.8k,14.9k,15.8k,17k
Palestine,,,,,2470,2600,2540,2860,3330,3570,3090,2710,2310,2610,3160,3590,3610,3800,4040,4200,4360,4780,5560,5720,5950,6480,6810,6910,7280,7520,6910,6800,7620,6990
Qatar,57.3k,56.4k,62.1k,60.9k,61.1k,62.1k,64.2k,81.5k,83.8k,83.9k,81.8k,86.2k,88.9k,92.5k,103k,100k,120k,117k,119k,114k,136k,161k,169k,160k,142k,100k,89.3k,99.1k,108k,105k,80.4k,115k,119k,125k
Romania,5260,4790,4500,4670,4970,5390,5700,5510,5480,5530,5810,6480,7090,7380,8610,9320,11.2k,13.3k,16.4k,16.4k,17.2k,18.6k,19.5k,19.4k,20.5k,21.4k,23.6k,26.6k,29.1k,33.2k,33.9k,37k,40.9k,44.5k
Russia,8010,7840,6800,6350,5710,5570,5440,5580,5230,5680,6650,7260,7880,8970,10k,11.5k,14.5k,16.3k,19.6k,18.8k,19.9k,22.1k,23.5k,25.1k,24.8k,23.3k,23.3k,25.1k,27.9k,30k,30.8k,38k,40.1k,43.5k
Rwanda,550,540,570,520,310,520,490,500,520,550,600,660,750,760,820,910,990,1070,1180,1230,1300,1400,1440,1490,1640,1750,1820,1910,2050,2260,2230,2680,3030,3330
Saudi Arabia,49.4k,51.9k,52.4k,51k,49.5k,49k,49.4k,49.7k,49.8k,48.4k,48.8k,47.3k,45.5k,47.8k,51.4k,53.7k,55.3k,55.9k,58.3k,55.9k,60.5k,65.3k,65.9k,62.6k,62.8k,53.7k,49.4k,52.1k,57.3k,56.7k,46.1k,56.6k,62k,61.4k
Sudan,1350,1370,1510,1620,1680,1780,1930,2290,2350,2370,2480,2670,2770,2930,3080,3280,3480,3690,3750,3620,3540,3830,3510,3480,4180,4120,4380,4080,3960,3720,3170,3120,3290,2720
Senegal,1470,1520,1550,1550,1530,1620,1660,1700,1780,1870,1930,2020,2000,2110,2220,2330,2410,2490,2570,2580,2640,2640,2720,2720,2800,2920,3020,3140,3290,3550,3690,4070,4380,4630
Singapore,23.6k,25.1k,27k,29.4k,33.1k,35.3k,36.6k,40.1k,38.1k,40.4k,43.5k,42.8k,44.2k,47.5k,51.1k,55.5k,62.3k,67k,65.2k,62.8k,74.6k,77.3k,78.5k,78.6k,81.6k,81.2k,84.3k,89k,91.2k,93.3k,87.8k,112k,115k,119k
Solomon Islands,1250,1310,1470,1540,1660,1800,1810,1770,1760,1700,1490,1390,1320,1420,1560,1700,1750,1780,1850,1880,2080,2150,2210,2400,2350,2310,2350,2400,2460,2490,2460,2550,2710,2860
Sierra Leone,1150,1230,1010,1090,1040,1020,1070,1020,1020,1020,1090,990,1210,1280,1260,1360,1450,1490,1620,1740,1830,1930,2240,2770,2820,2510,2580,2490,2610,2680,2710,2820,3110,3340
El Salvador,2780,2860,3110,3330,3550,3770,3830,3980,4110,4190,4330,4440,4550,4670,4830,5120,5540,5790,6040,5870,6070,6390,6440,6770,7160,7560,8020,8470,8680,9270,8870,10.2k,11.1k,11.9k
San Marino,,,,,,,,,,,,,,,,,,,,,,,,,,,,48.6k,49.6k,52.6k,49.8k,58.4k,69.4k,
Somalia,,450,450,460,370,380,400,400,410,430,460,480,510,540,570,610,650,690,730,770,810,870,1000,940,1120,1340,1460,1590,1540,1540,1450,1390,1480,1550
Serbia,,,,,,,,6040,6460,5900,6410,6810,7530,7980,8650,9290,10.3k,11.3k,12.8k,12.8k,13.1k,13.8k,14.1k,14.7k,14.7k,14.9k,15.6k,16.2k,17.6k,19.5k,20.4k,22.6k,25k,27.3k
South Sudan,,,,,,,,,,,,,,,,,,,,,,1560,1360,1810,1180,1010,,,,,,,,
Sao Tome and Principe,1380,1380,1390,1410,1450,1470,1530,1530,1550,1630,1680,1820,1870,2040,2110,2280,2600,2730,2800,2840,2850,2910,2680,2980,3320,3210,3350,3430,3960,4650,5200,5760,6150,6210
Suriname,6470,6830,6980,6580,6930,6980,7000,7260,7370,7130,7240,7090,7790,8280,9060,9830,10.6k,11.5k,12.2k,12.4k,12.7k,13.1k,14.6k,15.8k,16.4k,16.5k,13.8k,15.6k,16.1k,17.7k,14.2k,16.1k,18.4k,19.2k
Slovak Republic,8030,7060,6750,7410,8010,8740,9490,10.1k,10.6k,10.7k,11.3k,12.4k,13.3k,13.5k,14.6k,16.2k,18.4k,20.6k,23.3k,23k,24.9k,25.4k,26.5k,27.8k,28.7k,29.3k,28.9k,29.6k,30.9k,33.1k,34.7k,36.6k,40.3k,42.5k
Slovenia,12.3k,11.6k,11.2k,11.9k,13k,13.7k,14.3k,15.3k,16k,17.1k,18k,18.9k,20.1k,20.9k,22.4k,23.6k,25.4k,26.9k,28.8k,27.1k,27.4k,28.5k,28.6k,29.6k,30.6k,30.7k,33.1k,35.9k,38.4k,42.1k,41.8k,45.6k,50.2k,53.2k
Sweden,19.9k,20.1k,19.9k,19.7k,21.1k,22.4k,23.3k,24.1k,25.3k,27.5k,29.6k,30k,31.1k,32.3k,34k,34.7k,38.7k,42.1k,43.4k,41k,43.2k,45.3k,46.3k,47.2k,47.8k,49.1k,50.4k,52.2k,54.1k,58.7k,59.5k,65.3k,69.2k,69.7k
Eswatini,3360,3420,3490,3480,3460,3940,4230,4350,4270,4500,4470,4790,4720,4860,5250,6030,6230,6690,6740,6700,6780,6960,7160,7780,7930,7980,7980,7970,7980,8240,8390,9090,9600,10.5k
Sint Maarten (Dutch part),,,,,,,,,,,,,,,,,,,,35.3k,36.5k,38.5k,34.5k,35.5k,42.1k,43.3k,43.7k,43.6k,40.7k,44.1k,37.9k,39.3k,45.6k,48.3k
Seychelles,8650,9130,10k,10.8k,10.6k,10.4k,11.6k,13.2k,13.2k,13.3k,13.9k,14.2k,13.2k,13.3k,14.3k,16k,17.7k,18.2k,17.4k,17.3k,17.9k,20.3k,22.2k,21.1k,23.4k,24k,26.8k,28.6k,30.6k,32.9k,29.9k,28.7k,29.6k,32.5k
Syria,,,,,,,,,,,,,,,,,,,,,,,,,,,,3150,3330,3370,3580,4430,4610,
Turks and Caicos Islands,,,,,,,,,,,,,,,,,,,,,,,,,21.1k,22.4k,24.6k,25.9k,26.7k,26.1k,16.5k,21.3k,23.7k,23.7k
Chad,690,750,800,650,730,730,720,750,790,770,740,820,860,830,1100,1280,1270,1340,1320,1530,1710,1700,1640,1460,1570,1730,1610,1550,1610,1760,1550,1680,1780,1840
Togo,1090,1090,1050,930,1050,1120,1200,1350,1300,1310,1300,1300,1340,1430,1410,1350,1390,1380,1420,1470,1530,1690,1650,1720,1820,1920,1950,1990,2070,2220,2370,2580,2870,3080
Thailand,4390,4840,5250,5740,6230,6770,7140,6930,6330,6690,7150,7420,7860,8460,9130,9710,10.5k,11.3k,11.6k,11.5k,12.4k,12.9k,13.9k,14.2k,14.6k,15k,15.9k,16.8k,18k,19.2k,18.7k,19.5k,21.6k,22.9k
Tajikistan,2580,2420,1720,1450,990,970,780,830,880,920,990,1090,1210,1330,1510,1920,2210,2500,2730,2600,2830,3130,3420,3840,3910,3520,3370,3460,3550,4010,4270,4800,5990,6230
Turkmenistan,5360,5120,4350,4440,3740,3420,3650,3280,3450,3980,4060,4310,4300,4480,4720,5110,5790,6700,7490,7770,8220,9290,9990,10.7k,11.3k,12k,12.6k,12.7k,13.8k,15.3k,15k,16.3k,18.1k,19.7k
Timor-Leste,1380,1540,1700,1870,1980,2100,2250,2320,2230,1650,2080,2150,2290,1830,2130,2620,3950,5500,8430,6280,7370,9080,8880,7630,6590,5450,4590,4930,5120,6430,6720,6520,5450,5620
Tonga,2480,2700,2750,2900,3230,3410,3490,3510,3670,3750,3880,3970,4250,4250,4280,4300,4400,4380,4680,4520,4610,5000,5140,5250,5370,5530,6010,6480,6710,6920,7170,7440,7760,
Trinidad and Tobago,6340,6670,7460,7640,7910,8430,9000,10.1k,11.1k,12.1k,12.9k,13.9k,15.3k,17.6k,20.1k,22.4k,26k,28k,29.4k,28k,29.3k,27.6k,29.4k,30.2k,30.4k,29.8k,27.8k,28.8k,28.7k,28.9k,25.3k,30.3k,31.6k,35.8k
Tunisia,3670,3830,4120,4160,4330,4490,4810,5110,5370,5710,6020,6330,6450,6840,7370,7720,8350,9010,9450,9760,10.1k,9970,10.2k,10.2k,10.6k,10.5k,10.8k,11k,11.6k,12.2k,11.5k,12.1k,13.2k,13.6k
Turkey,8110,8310,8860,9640,9090,9820,10.6k,11.4k,8660,8340,9170,8770,8960,9280,10.6k,11.6k,13.3k,14.7k,15.9k,15.3k,17.2k,19.4k,20.5k,22.2k,23.9k,25.6k,26.4k,27.8k,27.9k,28k,28.3k,30.9k,38.7k,41.9k
Tuvalu,3290,3480,3680,3510,4120,4010,3640,4330,4700,4560,4030,4780,6010,4180,4590,4580,4510,5290,5250,5310,4700,4720,4120,5020,4510,5840,5860,5860,6420,6950,6970,7220,7630,8320
Tanzania,900,930,930,930,940,960,1020,1050,1070,1110,1150,1200,1290,1360,1460,1570,1710,1800,1890,1950,2030,2170,2050,2140,2200,2280,2390,2430,2700,2930,3230,3430,3730,3940
Uganda,660,700,710,760,800,890,960,1010,1040,1100,1110,1150,1240,1300,1380,1470,1630,1770,1910,1980,2060,2230,1990,2000,2090,2150,2130,2110,2250,2380,2480,2630,2860,3040
Ukraine,7770,7310,6560,5630,4520,4080,3760,3750,3720,3760,3960,4510,4870,5490,6370,6820,7550,8500,8840,7550,8140,8680,9450,10.7k,10.4k,10.3k,11k,11.7k,12.7k,14.4k,15.9k,17.3k,15.5k,18.1k
Uruguay,6460,6960,7680,8040,8740,8770,9400,10.4k,10.9k,10.9k,10.9k,10.7k,10.1k,9880,10.6k,11.9k,12.9k,14.1k,15.2k,15.9k,17.2k,18.5k,18.1k,19.6k,20.5k,21.2k,21.8k,22.3k,23k,24.5k,24.4k,26.5k,29.8k,32k
USA,23.6k,24.1k,25.1k,25.9k,27.3k,28.4k,29.9k,31.5k,33.1k,34.7k,36.8k,37.7k,38.4k,39.8k,42.1k,44.6k,47.2k,48.3k,48.4k,47.1k,49.1k,50.9k,53k,54.2k,56.5k,58k,58.8k,61k,63.9k,66.3k,64.7k,71.8k,78.7k,82.3k
Uzbekistan,2660,2680,2360,2310,2190,2170,2200,2300,2400,2500,2600,2740,2860,3010,3310,3610,3940,4560,5060,5260,5600,6060,6240,6520,6700,6910,6990,7950,8340,8640,8470,9290,10.4k,11k
St. Vincent and the Grenadines,3770,3930,4340,4630,4610,5080,5280,5510,5790,5940,6200,6510,6980,7510,7990,8500,9530,10.3k,10.6k,10.7k,10.4k,10.6k,10.9k,11.6k,11.6k,12.1k,13.4k,13.5k,14.7k,15.3k,15.3k,15.6k,18.3k,20.2k
Venezuela,9350,10.4k,10.8k,10.9k,10.6k,11.1k,11k,11.6k,11.6k,11k,11.4k,11.8k,10.6k,9830,11.7k,13.3k,14.9k,16.7k,17.5k,16.7k,16.3k,16.9k,,,,,,,,,,,,
Vietnam,1150,1240,1380,1490,1640,1840,2010,2160,2270,2390,2580,2780,2960,3200,3490,3840,4170,4480,4730,4890,5220,5620,6170,6530,7020,7280,7910,8620,9500,10.5k,11.1k,11.4k,13.2k,14.2k
Vanuatu,1660,1520,1510,1530,1620,1660,1750,1850,2020,2040,2100,2090,1910,1980,2050,2140,2380,2450,2690,2630,2650,2750,2670,2830,2950,2930,3040,3150,3330,3790,3470,3590,3860,3940
Samoa,2910,2900,2840,3040,2040,2160,2430,2470,2540,2650,2890,3120,3300,3520,3720,4060,4270,4410,4630,4670,5080,5290,5150,5200,5260,5570,6010,6100,6110,6380,6220,6110,6110,6890
Yemen,1730,1780,1920,1980,2070,2110,2070,2140,2300,2260,2410,2510,2560,2600,2660,2810,3000,3090,3130,3250,3390,2890,2870,3020,,,,,,,,,,
South Africa,6170,6230,6150,6260,6510,6760,7070,7290,7310,7500,7930,8200,8600,8930,9550,10.3k,11.1k,11.7k,12.2k,12k,12.4k,12.8k,12.7k,13.1k,13k,13.1k,13.2k,13.4k,13k,13k,12.5k,13.4k,14.4k,15k
Zambia,1390,1360,1360,1480,1370,1410,1490,1540,1500,1570,1630,1710,1770,1890,1940,2050,2160,2270,2500,2790,2890,3070,3270,3330,3370,3270,3210,3240,3390,3300,3070,3200,3610,3880
Zimbabwe,1560,1630,1430,1480,1610,1610,1850,1810,1720,1780,1730,1840,1730,1480,1340,1300,1220,1120,760,1310,1600,1770,2020,2230,2270,2330,2450,6770,2560,3150,3440,3110,3480,3770
