country,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Bermuda,,,,,,,,,,,,,,,,,,,,,73.8k,72.7k,72.2k,74.8k,74.7k,78.7k,82.7k,89.2k,88.8k,92.2k,87.7k,96.2k,111k,113k
Bolivia,2170,2320,2390,2500,2640,2770,2890,3040,3190,3180,3270,3350,3420,3490,3640,3870,4130,4350,4660,4730,4870,5170,5510,6180,6680,6910,7410,8260,8740,8990,8200,9210,10.1k,10.6k
Brazil,6510,6710,6740,7080,7430,7980,8190,8460,8420,8370,8830,9000,9290,9490,10.2k,10.8k,11.5k,12.4k,13.1k,13.1k,14k,14.8k,14.8k,15.5k,15.5k,14.5k,14k,14.3k,15k,15.6k,15.8k,17.5k,19.3k,20.5k
Barbados,10.8k,10.8k,10.4k,10.6k,11k,11.4k,12k,12.9k,13.5k,13.7k,14.6k,14.5k,14.7k,15.2k,15.8k,16.7k,17.9k,19.1k,19.2k,18.4k,18.6k,18.1k,17.4k,17.4k,17.1k,17.1k,17.3k,17.2k,17.8k,17.9k,15.6k,15.4k,19.3k,20.5k
Brunei,70.2k,72.6k,70k,69.4k,69.8k,70.4k,70k,74k,68.3k,70.6k,73.1k,74.3k,76.8k,79.6k,80.4k,81.5k,86.1k,84.1k,80.8k,78.3k,79k,80.5k,85.2k,82.3k,81.2k,65.9k,60.8k,65.3k,65.5k,71.2k,71.9k,78.8k,80k,86.4k
Bhutan,1540,1520,1640,1800,1990,2090,2280,2460,2420,2520,3110,3340,3610,3860,4080,4460,4840,5650,5880,6220,6870,7480,7960,8120,8720,9550,10.4k,10.7k,10.9k,11.8k,11.8k,12.7k,14.3k,
Botswana,5800,6570,6800,7200,6520,7300,7310,8070,8480,8550,8600,8990,8450,9210,9410,10.2k,11.6k,12.7k,12.8k,11.3k,12k,13.3k,12.7k,12.7k,14.6k,13.7k,14.8k,14.4k,14.3k,16k,15.3k,18k,20k,21k
Central African Republic,610,610,570,560,580,620,590,620,630,650,630,660,680,650,680,700,740,780,790,870,940,980,1070,720,710,780,840,930,970,1060,1130,1210,1280,1330
Canada,19.5k,19.6k,19.9k,20.7k,21.8k,22.7k,23.3k,24.5k,25.4k,26.9k,28.6k,29.4k,30.2k,31.6k,33.2k,35.6k,37.5k,39k,39.8k,38.2k,39.3k,40.9k,41.5k,43.6k,45k,44k,45.9k,47.7k,49.1k,49.9k,48.2k,56.1k,61.9k,62.6k
Switzerland,29k,29.4k,29.6k,30.1k,30.6k,31.5k,32.3k,34.1k,35.4k,36.6k,39k,39.2k,39.6k,41.2k,42.6k,44.9k,49.6k,51.1k,50.3k,53.7k,57.3k,57.8k,60.4k,62.7k,63.4k,65.9k,67k,67.3k,68.1k,71.2k,70.5k,79.5k,88.4k,87k
Chile,4170,4590,5260,5780,6140,6920,7640,8250,8650,8590,9050,9450,9740,10.2k,10.8k,11.6k,13.8k,15.1k,15.1k,14.9k,16.8k,18.4k,20.2k,21.2k,21.6k,21.9k,22.6k,23.4k,24.3k,24.6k,23.8k,27.5k,29.4k,31.1k
China,980,1100,1260,1450,1660,1830,2030,2240,2410,2620,2880,3160,3500,3910,4420,5020,5830,6840,7630,8290,9220,10.2k,11.2k,11.9k,12.7k,13.1k,13.8k,14.7k,15.9k,17.2k,17.8k,20.3k,22.3k,24.4k
Cote d'Ivoire,2430,2440,2410,2360,2390,2520,1760,1850,1890,1910,1790,1750,1710,1660,1760,1940,1990,2030,2140,2200,2310,2110,2350,2530,4000,4310,4430,4550,4810,5360,5380,5860,6490,6910
Cameroon,1950,1850,1800,1660,1670,1700,1760,1820,1890,1960,1990,2050,2140,2290,2480,2530,2670,2760,2830,2870,2890,2960,3010,3180,3360,3450,3570,3700,3940,4150,4280,4720,5060,5300
"Congo, Dem. Rep.",760,700,620,540,480,460,490,460,450,410,410,380,400,420,440,460,490,520,530,540,570,600,600,650,740,800,890,970,1030,1100,1110,1270,1400,1560
"Congo, Rep.",2900,3010,3180,2920,2890,2110,2160,2590,2810,2510,2680,2730,2890,2950,2820,3250,3890,3560,3900,4420,4760,4660,5730,5700,5820,4690,3870,3860,5280,5140,4740,5570,5930,6500
Colombia,4900,5090,5330,5680,6080,6410,6520,6740,6760,6460,6630,6760,6920,7170,7630,8220,8910,9600,9950,10.1k,10.5k,11.2k,11.6k,12.3k,13k,13.2k,13.9k,14.2k,14.9k,15.8k,15.4k,17.1k,20.2k,20.6k
Comoros,1470,1400,1540,1580,1500,1560,1540,1600,1610,1640,1820,1870,1900,1930,1980,2060,2140,2180,2260,2300,2370,2470,2670,2830,2950,2960,3160,3360,3320,3330,3270,3460,3730,3890
Cape Verde,1050,1070,1190,1290,1540,1750,1950,2170,2420,2680,3050,3190,3320,3500,3900,4200,4590,5460,5870,5760,5800,6160,6070,6160,6130,6540,7110,7690,7750,8480,6700,7580,9360,10.2k
Costa Rica,4800,5040,5510,5900,6220,6430,6510,6830,7160,7290,7520,7810,8070,8450,8970,9530,10.5k,11.5k,12.2k,11.9k,12.5k,13.2k,14k,14.7k,15.7k,16.8k,18.4k,19.4k,20.3k,21.9k,20.8k,22.3k,24.1k,26.1k
Cayman Islands,,,,,,,,,,,,,,,,,,,,,62.8k,64.4k,43.8k,38.2k,36.7k,38k,41.5k,45.6k,50.1k,53.9k,45.1k,57.1k,54k,
Cyprus,13.3k,13.5k,14.7k,14.8k,15.6k,16.2k,16.5k,16.8k,19.3k,18.5k,19.5k,21.2k,22.3k,23.3k,24.5k,26.3k,28.4k,30.8k,34.3k,33.8k,33k,34.3k,31.7k,30.1k,29.4k,31.7k,34.5k,37.3k,39.5k,42.7k,40.4k,44.5k,51.6k,51.7k
Czech Republic,12.6k,11.6k,11.8k,12.1k,12.7k,13.7k,14.5k,14.6k,14.8k,15.1k,15.9k,17.1k,17.6k,18.9k,19.9k,21.1k,22.4k,24.6k,26.3k,25.8k,25.8k,26.7k,27.4k,28.9k,30.3k,31.6k,33.7k,36.6k,38.9k,42.1k,41.7k,44.4k,47.5k,49.3k
Germany,19.7k,21.1k,21.8k,21.9k,22.8k,23.5k,24.1k,24.5k,25.2k,26.1k,27.1k,28.2k,28.9k,29.6k,31.5k,32.1k,34.7k,36.8k,38.2k,37.6k,39.7k,43.6k,44.4k,46k,48k,48.7k,51.8k,54.3k,57.1k,60.4k,59.6k,63.9k,68.8k,70.9k
Djibouti,,,,,,,,,,,,,,,,,,,,,,,,3780,4050,4400,4490,4660,5050,5230,5430,5840,6640,6940
Dominica,4240,4410,4620,4850,4870,5080,5250,5520,5860,5790,5840,6280,6130,6670,6950,7290,8210,8890,9770,9840,10.1k,10.3k,10k,9910,10.7k,10.8k,11.7k,11.8k,13.3k,15k,13.8k,15.6k,17.8k,19.4k
Denmark,17.6k,18.4k,19.2k,19.7k,21.2k,22.3k,23.3k,24.4k,25.4k,26.4k,28k,29k,30.3k,30.6k,33.1k,34.5k,37.9k,39.3k,41.9k,40.9k,43.8k,45.4k,45.8k,48.4k,49.6k,50.4k,53.1k,56.5k,58.8k,62.4k,64.7k,72.5k,79.9k,75.8k
Dominican Republic,3530,3600,4010,4260,4410,4670,4980,5420,5740,6050,6380,6590,6890,6670,6810,7810,8720,9490,10k,10k,10.9k,11.3k,11.3k,11.8k,12.8k,14.2k,15.6k,16.2k,17.3k,18.8k,18.1k,20.8k,23.4k,24.5k
Algeria,7350,7190,7390,7290,7180,7370,7650,7780,8180,8400,8770,9290,9720,10.4k,11k,11.7k,12.3k,13.2k,13.6k,13.6k,14.2k,14.5k,14.3k,14.1k,14.4k,13.5k,13.3k,13.3k,13.4k,13.6k,12.5k,14.2k,15.5k,16.6k
Ecuador,4250,4550,4730,4870,5110,5250,5320,5570,5680,5250,5270,5650,5990,6170,6620,7120,7570,7800,8460,8480,8830,9610,10.1k,11.1k,11.7k,10.7k,10.7k,11.5k,11.9k,12.2k,11.1k,13.3k,15k,15.7k
Egypt,3470,3650,3800,3910,4060,4260,4460,4690,4920,5150,5480,5710,5760,5920,6190,6540,7110,7710,8260,8470,8660,8760,10.1k,10.2k,10k,10.7k,10.5k,10.9k,12k,12.9k,14.8k,15.1k,16.9k,17.7k
Eritrea,,,1020,1150,1380,1390,1430,1570,1610,1610,1560,1680,1690,1600,1600,1660,1670,1720,1530,1560,1580,1720,,,,,,,,,,,,
Spain,13.5k,14.3k,14.7k,14.8k,15.3k,16.1k,16.7k,17.7k,18.9k,19.8k,21.4k,22.6k,24.1k,24.8k,25.9k,27.2k,30.1k,31.7k,32.3k,31.5k,31.2k,31.3k,31.5k,32.2k,33.4k,34.9k,37.4k,39.6k,40.8k,43.8k,39.1k,44.1k,49.7k,52.8k
Estonia,7190,6870,5620,5570,5690,6260,6810,7590,8210,8190,9070,9810,11.1k,12.4k,13.7k,15.9k,18.3k,20.5k,21.6k,19.9k,20.4k,23.3k,24.9k,26.8k,28.1k,28.5k,30.6k,33k,35.6k,39.1k,39.5k,43.1k,46.1k,45.4k
Ethiopia,410,380,340,380,390,410,450,460,430,450,470,510,510,490,550,620,690,770,850,900,990,1100,1180,1250,1480,1630,1850,1990,2090,2230,2390,2580,2830,3050
Finland,17.8k,17.1k,16.6k,16.6k,17.7k,19k,19.6k,21.5k,23.1k,24.5k,26.6k,27.8k,28.7k,28.9k,31.4k,32.2k,34.8k,38k,40.1k,38.4k,39.5k,41.1k,41.1k,41.7k,42.2k,42.9k,45.1k,47.6k,49.8k,52.8k,54.5k,58.1k,62.3k,62.1k
Fiji,3810,3830,4110,4270,4490,4810,5140,5030,5010,5470,5730,5760,6070,6150,6580,6870,6770,6960,7110,7170,7240,7570,8050,8830,10.2k,11k,11.3k,11.8k,12.4k,12.1k,10.5k,10.1k,12.9k,14.3k
France,17.7k,18.4k,19k,19.3k,20.1k,20.8k,21.5k,22.5k,23.7k,24.8k,26.5k,28k,28.8k,28.6k,29.5k,31k,33.1k,34.8k,35.9k,35.5k,36.7k,38.4k,38.5k,40.4k,41k,41.7k,43.8k,45.6k,47.6k,52.3k,49.9k,53.5k,56.8k,59.1k
Faeroe Islands,,,,,,,,,,,,,,,,,,,41.4k,38.4k,40.3k,44.4k,48.6k,52.5k,55.1k,55.1k,56.3k,58.3k,60.6k,64k,63.1k,70.1k,76.1k,78.7k
"Micronesia, Fed. Sts.",1950,2100,2120,2290,2290,2360,2310,2120,2180,2290,2450,2540,2580,2670,2700,2870,2970,3040,3010,3190,3240,3390,3430,3460,3430,3970,3950,3940,3620,4170,4150,4380,4610,4730
Gabon,10.8k,11.5k,10.8k,11k,11.7k,12k,12.4k,13k,13.5k,12.1k,11.4k,11.9k,12.2k,12.1k,11.5k,12.6k,11.8k,12.3k,11.8k,11.9k,12.2k,12.8k,13.2k,13.1k,14.1k,13.1k,12.9k,13.9k,14.4k,14.7k,13.7k,16.2k,18.6k,19.7k
UK,17.4k,17.8k,18.5k,19.3k,20.8k,20k,21.3k,22.7k,23.8k,24.4k,26.6k,28.1k,29.4k,30.7k,32.3k,33.1k,34.6k,35.2k,36.3k,34.7k,36.5k,37.4k,38k,39.3k,40.5k,41.6k,43k,45.5k,46.5k,49.9k,47k,51.2k,58.2k,56.8k
Georgia,5840,4730,2630,1870,1730,1830,2200,2710,2940,3130,3200,3460,3730,4250,4700,5320,6100,6980,7250,7090,7580,8330,9960,10.6k,11.6k,12k,12.5k,13.1k,14.5k,16k,16k,17.7k,20.9k,23.1k
Ghana,1570,1660,1730,1800,1860,1930,2010,2080,2150,2220,2280,2370,2450,2560,2700,2890,3040,3230,3500,3610,3810,4280,4750,5070,5230,5040,4810,4920,5290,5760,6110,6410,7090,7450
Guinea,840,850,880,930,960,1000,1030,1080,1100,1150,1180,1220,1310,1260,1300,1330,1440,1540,1590,1530,1600,1670,1760,1750,1830,1900,2230,2670,2800,3080,3300,3590,3990,4000
Gambia,1330,1380,1410,1430,1420,1430,1450,1480,1500,1570,1640,1720,1630,1760,1940,1900,1880,1940,2050,2140,2220,2020,2020,1960,1890,1940,1970,2000,2240,2380,2490,2710,3020,3210
Guinea-Bissau,800,830,840,850,870,920,1020,1100,840,980,980,1030,1070,1070,1090,1170,1210,1240,1290,1300,1370,1450,1360,1410,1500,1770,1850,2100,1990,2270,2290,2470,2700,2860
Equatorial Guinea,610,610,820,890,890,950,1520,3950,4370,5630,5070,5410,6790,6350,7850,11.2k,18.5k,21.3k,22.6k,19.7k,15.4k,17.6k,19.9k,19.1k,18.5k,14.7k,12.9k,13.6k,14.1k,12.1k,10.3k,12.6k,11.8k,12.3k
Greece,13.6k,14.4k,14.7k,14.7k,15.3k,15.8k,16.4k,17.3k,18.1k,18.3k,19.6k,21.1k,22.6k,23.8k,25.2k,25.6k,28k,28.6k,29.9k,29.7k,27.3k,25k,25.1k,26k,26.8k,26.8k,27.4k,28.5k,29.3k,31.3k,29k,32.7k,38.3k,40.4k
Grenada,4360,4620,4680,4610,4760,4860,5120,5430,6040,6480,6830,6700,6950,7750,7670,9610,9470,10.2k,10.4k,9460,9810,10.2k,10.1k,10.9k,11.1k,11.7k,12.7k,13.4k,14.4k,14.8k,13.4k,13.9k,16.4k,17.6k
